Mã sản phẩm,Tên sản phẩm,Thương hiệu,Danh mục,Giá lẻ (VND),Số lượng/thùng,Giá thùng (VND),Mô tả,Hình ảnh,Ngày tạo,Ngày cập nhật
"abro_abro_nuoc_rua_kinh_34017553","Abro Nước Rửa Kính","Abro","Nước rửa kính",65000,1,65000,"","https://i.ibb.co/23yYXCWt/abro-abro-nuoc-rua-kinh-34017553-detail.jpg","10:00:17 24/6/2025","20:45:23 30/9/2025"
"abro_abro_x_c_k_t_n__c","Abro Xúc két nước","Abro","Phụ gia",80000,24,1860000,"","https://i.ibb.co/9mVrS595/abro-abro-x-c-k-t-n-c-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"abro_abro_x_c_nh_t","Abro Xúc nhớt","Abro","Phụ gia",95000,24,2230000,"","https://i.ibb.co/C3KrLtgb/abro-abro-x-c-nh-t-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"app_app_dot_3","APP DOT 3","APP","Dầu phanh",50000,12,580000,"","https://i.ibb.co/Kj2J1tNN/app-app-dot-3-detail.jpg","19:18:02 20/6/2025","20:45:23 30/9/2025"
"calix_m__l2_x__17kg_1750556247060","Mỡ L2 xô 17kg","Calix","Mỡ",1550000,1,1550000,"","https://i.ibb.co/gMF6RBhT/calix-m-l2-x-17kg-1750556247060-detail.jpg","08:37:26 22/6/2025","20:45:23 30/9/2025"
"calix_m__l3_x__17kg_1750556193224","Mỡ L3 xô 17kg","Calix","Mỡ",1600000,1,1600000,"","https://i.ibb.co/gbmDdDMH/calix-m-l3-x-17kg-1750556193224-detail.jpg","08:36:32 22/6/2025","20:45:23 30/9/2025"
"calix_m__l4_x__17kg_1750556224905","Mỡ L4 xô 17kg","Calix","Mỡ",1600000,1,1600000,"","https://i.ibb.co/YFrnDTtC/calix-m-l4-x-17kg-1750556224905-detail.jpg","08:37:04 22/6/2025","20:45:23 30/9/2025"
"calix_m__l4_x__2kg_1750556121073","Mỡ L4 xô 2kg","Calix","Mỡ",200000,1,200000,"","https://i.ibb.co/yBW5x4R4/calix-m-l4-x-2kg-1750556121073-detail.jpg","08:35:20 22/6/2025","20:45:23 30/9/2025"
"calix_m__l4_x__4kg_1750556141628","Mỡ L4 xô 4kg","Calix","Mỡ",400000,1,400000,"","https://i.ibb.co/ynx8JZsJ/calix-m-l4-x-4kg-1750556141628-detail.jpg","08:35:40 22/6/2025","20:45:23 30/9/2025"
"calix_m__t_i","Mỡ túi","Calix","Mỡ",75000,12,72000,"","https://i.ibb.co/KzF5VDYm/calix-m-t-i-detail.jpg","08:34:29 22/6/2025","20:45:23 30/9/2025"
"calix_mo_ca_sau_28840861","Mỡ cá sấu","Calix","Mỡ",60000,24,1390000,"","https://i.ibb.co/q2zGNRB/calix-mo-ca-sau-28840861-detail.jpg","08:34:01 24/6/2025","20:45:23 30/9/2025"
"calix_mo_le_l3_98064394","Mỡ lẻ L3","Calix","Mỡ",100000,1,100000,"","","10:01:04 4/7/2025","20:45:23 30/9/2025"
"caltex_caltex_15w40_17160423","Caltex 15w40","Caltex","Nhớt ô tô",380000,6,2280000,"","https://i.ibb.co/pBhf6Np1/caltex-caltex-15w40-17160423-detail.jpg","23:59:20 21/7/2025","20:45:23 30/9/2025"
"caltex_caltex_90","Caltex 90","Caltex","Dầu số",410000,6,2460000,"","https://i.ibb.co/Qj6KwqjL/caltex-caltex-90-detail.jpg","19:18:02 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_dex_6","Caltex Dex 6","Caltex","Dầu số",170000,12,2040000,"","https://i.ibb.co/27474MVn/caltex-caltex-dex-6-detail.jpg","19:18:03 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_dot_3","Caltex Dot 3","Caltex","Dầu phanh",180000,12,580000,"","https://i.ibb.co/Q1RCGwz/caltex-caltex-dot-3-detail.jpg","19:18:02 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_xe_ga_0_8l","Caltex Xe Ga 0.8L","Caltex","Nhớt xe máy",95000,24,2280000,"","https://i.ibb.co/d4c0sv14/caltex-caltex-xe-ga-0-8l-detail.jpg","19:18:06 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_xe_ga_1_0l","Caltex Xe Ga 1.0L","Caltex","Nhớt xe máy",110000,24,2640000,"","https://i.ibb.co/gF97Fyff/caltex-caltex-xe-ga-1-0l-detail.jpg","19:18:06 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_xe_s__0_8l","Caltex Xe Số 0.8L","Caltex","Nhớt xe máy",85000,24,2040000,"","https://i.ibb.co/rfF0ywSN/caltex-caltex-xe-s-0-8l-detail.jpg","19:18:06 20/6/2025","20:45:23 30/9/2025"
"caltex_caltex_xe_s__1_0l","Caltex Xe Số 1.0L","Caltex","Nhớt xe máy",100000,24,2400000,"","https://i.ibb.co/5XxvdhN3/caltex-caltex-xe-s-1-0l-detail.jpg","19:18:06 20/6/2025","20:45:23 30/9/2025"
"caltex_m__caltex_1750556319229","Mỡ Caltex","Caltex","Mỡ",90000,24,2112000,"","https://i.ibb.co/4R9dSHkr/caltex-m-caltex-1750556319229-detail.jpg","08:38:38 22/6/2025","20:45:23 30/9/2025"
"caltex_texamatic_1888","Caltex 1888 Texamatic","Caltex","Dầu số",120000,12,1380000,"","https://i.ibb.co/ks8ZWXb3/caltex-texamatic-1888-detail.jpg","19:18:03 20/6/2025","20:45:23 30/9/2025"
